PCA components,hidden_layer_sizes,alpha,activation,solver,learning_rate,mean_accuracy
150,"(200,)",0.01,relu,sgd,constant,0.8833333333333334
150,"(200,)",0.001,relu,sgd,adaptive,0.8833333333333334
150,"(200,)",0.0001,relu,sgd,adaptive,0.8833333333333334
150,"(200,)",0.0001,relu,sgd,constant,0.8833333333333334
No PCA,"(200, 100)",0.0001,relu,sgd,constant,0.8833333333333333
No PCA,"(200, 100)",0.0001,relu,sgd,adaptive,0.8833333333333333
No PCA,"(200,)",0.0001,relu,sgd,adaptive,0.8791666666666668
50,"(100,)",0.001,tanh,sgd,constant,0.8791666666666668
50,"(100,)",0.01,tanh,sgd,constant,0.8791666666666668
No PCA,"(200,)",0.01,relu,sgd,constant,0.8791666666666668
No PCA,"(200,)",0.01,relu,sgd,adaptive,0.8791666666666668
50,"(100,)",0.0001,tanh,sgd,constant,0.8791666666666668
50,"(100,)",0.0001,tanh,sgd,adaptive,0.8791666666666668
50,"(100,)",0.01,tanh,sgd,adaptive,0.8791666666666668
50,"(100,)",0.001,tanh,sgd,adaptive,0.8791666666666668
No PCA,"(200,)",0.001,relu,sgd,constant,0.8791666666666668
No PCA,"(200,)",0.001,relu,sgd,adaptive,0.8791666666666668
No PCA,"(200,)",0.0001,relu,sgd,constant,0.8791666666666668
No PCA,"(200, 100)",0.01,relu,sgd,adaptive,0.8791666666666668
No PCA,"(200, 100)",0.01,relu,sgd,constant,0.8791666666666668
No PCA,"(100,)",0.0001,relu,sgd,constant,0.8624999999999999
No PCA,"(100,)",0.0001,relu,sgd,adaptive,0.8624999999999999
No PCA,"(100,)",0.01,relu,sgd,adaptive,0.8583333333333334
No PCA,"(100,)",0.01,relu,sgd,constant,0.8583333333333334
No PCA,"(100,)",0.001,relu,sgd,constant,0.8583333333333334
No PCA,"(100,)",0.001,relu,sgd,adaptive,0.8583333333333334
100,"(100, 50)",0.0001,tanh,sgd,constant,0.8583333333333334
100,"(100, 50)",0.0001,tanh,sgd,adaptive,0.8583333333333334
100,"(100, 50)",0.01,tanh,sgd,constant,0.8583333333333334
100,"(100, 50)",0.01,tanh,sgd,adaptive,0.8583333333333334
100,"(100, 50)",0.001,tanh,sgd,adaptive,0.8583333333333334
100,"(100, 50)",0.001,tanh,sgd,constant,0.8583333333333334
50,"(100, 50)",0.0001,tanh,sgd,adaptive,0.8541666666666666
50,"(100, 50)",0.0001,tanh,sgd,constant,0.8541666666666666
50,"(100, 50)",0.01,tanh,sgd,constant,0.8541666666666666
50,"(100, 50)",0.01,tanh,sgd,adaptive,0.8541666666666666
50,"(100, 50)",0.001,tanh,sgd,constant,0.8541666666666666
50,"(100, 50)",0.001,tanh,sgd,adaptive,0.8541666666666666
100,"(100,)",0.001,relu,sgd,constant,0.8500000000000001
100,"(100,)",0.0001,relu,sgd,adaptive,0.8500000000000001
100,"(100,)",0.01,relu,sgd,adaptive,0.8500000000000001
100,"(100,)",0.01,relu,sgd,constant,0.8500000000000001
100,"(100,)",0.0001,relu,sgd,constant,0.8500000000000001
100,"(100,)",0.001,relu,sgd,adaptive,0.8500000000000001
50,"(100,)",0.001,relu,sgd,adaptive,0.85
50,"(100,)",0.001,relu,sgd,constant,0.85
50,"(100,)",0.0001,relu,sgd,adaptive,0.85
50,"(100,)",0.0001,relu,sgd,constant,0.85
50,"(100,)",0.01,relu,sgd,adaptive,0.85
50,"(100,)",0.01,relu,sgd,constant,0.85
150,"(100,)",0.001,relu,sgd,adaptive,0.8458333333333333
150,"(100,)",0.001,relu,sgd,constant,0.8458333333333333
150,"(100,)",0.0001,relu,sgd,constant,0.8458333333333333
150,"(100,)",0.0001,relu,sgd,adaptive,0.8458333333333333
150,"(100,)",0.01,relu,sgd,constant,0.8458333333333333
150,"(100,)",0.01,relu,sgd,adaptive,0.8458333333333333
No PCA,"(100, 50)",0.001,tanh,sgd,constant,0.8416666666666668
No PCA,"(100, 50)",0.01,tanh,sgd,constant,0.8416666666666668
No PCA,"(100, 50)",0.001,tanh,sgd,adaptive,0.8416666666666668
No PCA,"(100, 50)",0.01,tanh,sgd,adaptive,0.8416666666666668
No PCA,"(100, 50)",0.0001,tanh,sgd,constant,0.8416666666666668
No PCA,"(100, 50)",0.0001,tanh,sgd,adaptive,0.8416666666666668
150,"(100, 50)",0.001,tanh,sgd,adaptive,0.8375
150,"(100, 50)",0.01,tanh,sgd,constant,0.8375
150,"(100, 50)",0.01,tanh,sgd,adaptive,0.8375
150,"(100, 50)",0.0001,tanh,sgd,adaptive,0.8375
150,"(100, 50)",0.001,tanh,sgd,constant,0.8375
150,"(100, 50)",0.0001,tanh,sgd,constant,0.8375
No PCA,"(100,)",0.01,relu,adam,constant,0.8291666666666666
No PCA,"(100,)",0.01,relu,adam,adaptive,0.8291666666666666
No PCA,"(50,)",0.01,tanh,sgd,adaptive,0.8291666666666666
No PCA,"(50,)",0.01,tanh,sgd,constant,0.8291666666666666
No PCA,"(50,)",0.001,tanh,sgd,constant,0.8291666666666666
No PCA,"(50,)",0.001,tanh,sgd,adaptive,0.8291666666666666
No PCA,"(50,)",0.0001,tanh,sgd,adaptive,0.8291666666666666
No PCA,"(50,)",0.0001,tanh,sgd,constant,0.8291666666666666
150,"(100, 50)",0.0001,relu,sgd,constant,0.8250000000000001
150,"(100, 50)",0.001,relu,sgd,adaptive,0.8250000000000001
150,"(100, 50)",0.001,relu,sgd,constant,0.8250000000000001
150,"(100, 50)",0.01,relu,sgd,constant,0.8250000000000001
150,"(100, 50)",0.0001,relu,sgd,adaptive,0.8250000000000001
150,"(100, 50)",0.01,relu,sgd,adaptive,0.8250000000000001
100,"(100, 50)",0.0001,relu,sgd,adaptive,0.8208333333333333
100,"(100, 50)",0.0001,relu,sgd,constant,0.8208333333333333
100,"(100, 50)",0.001,relu,sgd,adaptive,0.8208333333333333
100,"(100, 50)",0.001,relu,sgd,constant,0.8208333333333333
100,"(100, 50)",0.01,relu,sgd,adaptive,0.8208333333333333
100,"(100, 50)",0.01,relu,sgd,constant,0.8208333333333333
No PCA,"(50,)",0.01,relu,sgd,constant,0.8166666666666668
